page,id,title,subtitle,address,city,state,type,price,sf
1,39113497,17-19 Simpson Rd,100% Leased Applegreen Travel Plaza on I-80,"Columbia, NJ",Columbia,NJ,Retail,"$3,000,000","21,780"
1,39768287,185 Van Winkle Ave,Industrial/IOS Facility in Prime Location,"Hawthorne, NJ",Hawthorne,NJ,Industrial,"$2,000,000","26,721"
1,38829921,160 Belmont Ave,Income-Generating Multi-Tenant Flex Warehouse,"Garfield, NJ",Garfield,NJ,Industrial,"$750,000","23,750"
1,30338083,2004-2006 Bergenline Ave,Residential Over Two Ground-Floor Retail,"Union City, NJ",Union City,NJ,Multifamily,"$450,000",
1,39793575,53 Frontage Rd,Foster Wheeler HQ Reposition/Redevelopment,"Hampton, NJ",Hampton,NJ,Office,"$2,500,000","294,000"
1,39577671,1150 Route 22 E,Class A NJ Office W/ New Roof & HVAC,"Bridgewater, NJ",Bridgewater,NJ,Office,"$2,000,000","83,447"
1,40284146,611 River Dr,High-Yield Investment with 5.8-Year WALT,"Elmwood Park, NJ",Elmwood Park,NJ,Office,"$3,500,000","96,000"
1,40137257,248 Brighton Rd,100% NNN Leased Industrial in Northern NJ,"Andover, NJ",Andover,NJ,Industrial,"$2,000,000","43,000"
1,40110280,5 Eves Dr,Value-Add Asset with Full-Floor Availability,"Marlton, NJ",Marlton,NJ,Office,"$700,000","45,239"
1,40175525,950 N Kings Hwy,"Low-Basis, Office/Medical, 15% Occupied","Cherry Hill, NJ",Cherry Hill,NJ,Office,"$500,000","29,029"
1,37981527,31 Farinella Dr,"East Hanover, NJ 07936","East Hanover, NJ",East Hanover,NJ,Industrial,,"48,235"
1,38341444,570 Mount Pleasant Ave,"Dover, NJ 07801","Dover, NJ",Dover,NJ,Industrial,,"126,108"
1,37981494,22 Readington Rd,"Branchburg, NJ 08876","Branchburg, NJ",Branchburg,NJ,Industrial,,"80,000"
1,38449838,40 Brunswick Ave,Edison Transit Business Center,"Edison, NJ",Edison,NJ,Industrial,"$15,850,000","62,008"
1,37903418,104 E Park St,"Bordentown, NJ 08505","Bordentown, NJ",Bordentown,NJ,Industrial,,"209,684"
1,39099858,371 Hoes Ln,"Piscataway, NJ 08854","Piscataway, NJ",Piscataway,NJ,Office,,"133,608"
1,12026810,Route 563,"Rte. 563, Galloway, NJ 300 ac Industrial Zone","Galloway, NJ",Galloway,NJ,Land,,
1,39601240,1980 S West Blvd,"Vineland, NJ 08360","Vineland, NJ",Vineland,NJ,Industrial,"$2,800,000","20,000"
1,40090402,375 Georges Rd,La Taverna Restaurant and Bar,"Dayton, NJ",Dayton,NJ,Retail,"$2,300,000","4,513"
1,35998270,2 Perry St,,"Morristown, NJ",Morristown,NJ,Office,"$1,500,000","3,010"
1,39354240,1790 Springfield Ave,New Mixed-Use Asset | Multifamily & Retail,"Maplewood, NJ",Maplewood,NJ,Multifamily,"$5,700,000","16,000"
1,38227672,"The Pointe at Sparta, NJ",,"Sparta, NJ",Sparta,NJ,,"$7,600,000",
1,35931594,11 Charlottesburg Rd,,"Boonton, NJ",Boonton,NJ,Sports & Entertainment,,"4,400"
1,38392653,470 Fairfield Rd,Howell 5 Industrial Warehouse,"Freehold, NJ",Freehold,NJ,Land,,
1,37171965,1709 State Route 34,,"Wall Township, NJ",Wall Township,NJ,Land,"$3,190,610",
2,36147929,5 Route 45,Route 5 Business Center,"Mannington, NJ",Mannington,NJ,Office,"$4,500,000","23,030"
2,38405939,Monmouth Ave,,"Linden, NJ",Linden,NJ,Land,"$2,700,000",
2,39156861,472 E Westfield Ave,,"Roselle Park, NJ",Roselle Park,NJ,Flex,"$3,250,000","16,854"
2,38072942,16 Chambers St,,"Princeton, NJ",Princeton,NJ,Office,"$6,500,000","6,314"
2,40458677,1425 Route 50,,"Woodbine, NJ",Woodbine,NJ,Retail,"$650,000","4,500"
2,40443541,Newark MLK Portfolio,,"Newark, NJ",Newark,NJ,Multifamily,"$34,000,000",
2,40443099,2130 Highway 35,Bldg A,"Sea Girt, NJ",Sea Girt,NJ,Office,"$329,000",
2,40440963,275 Monmouth Rd,,"Freehold, NJ",Freehold,NJ,Retail,"$5,816,000","2,750"
2,40440956,101 W Nicholson Rd,4800 sq.ft  w/ 500 sq. ft. mezzanine,"Audubon, NJ",Audubon,NJ,Industrial,"$470,000","4,800"
2,40440051,1076 Ringwood Ave,,"Haskell, NJ",Haskell,NJ,Retail,"$1,229,013","4,542"
2,40440031,1884 Union Valley Rd,Lakeland Auto Parts,"West Milford, NJ",West Milford,NJ,Retail,"$1,589,486","9,000"
2,40440011,670 Bergen Blvd,,"Ridgefield, NJ",Ridgefield,NJ,Office,"$2,800,000","9,000"
2,40438812,65 Park Ave,,"Hillsdale, NJ",Hillsdale,NJ,Industrial,"$950,000","5,760"
2,40431876,807 E Evesham Rd,,"Runnemede, NJ",Runnemede,NJ,Land,"$399,999",
2,40427509,1299 Rt 22,,"Mountainside, NJ",Mountainside,NJ,Office,"$1,750,000","5,580"
2,40425505,328 E Main St,,"Tuckerton, NJ",Tuckerton,NJ,Flex,"$749,900","4,410"
2,40424294,735-747 Broadway,The Wentworth Building,"Paterson, NJ",Paterson,NJ,Specialty,"$4,999,999","34,000"
2,40419323,20 Duffield Ave,,"Cedarville, NJ",Cedarville,NJ,Industrial,"$3,400,000","68,300"
2,40410066,1124 Nj-31,Prime Route 31 Office/Medical Development,"Lebanon, NJ",Lebanon,NJ,Land,"$895,000",
2,40409913,484 Monmouth Rd,,"Millstone Township, NJ",Millstone Township,NJ,Flex,"$2,100,000","5,758"
2,40408946,105 Parkview Ave,,"Elmwood Park, NJ",Elmwood Park,NJ,Multifamily,"$650,000",
2,40408664,66 Pine St,Investment Property 3 units fully occupied,"Mount Holly, NJ",Mount Holly,NJ,Multifamily,"$450,000","2,595"
2,40405967,35 Brant Ave,,"Clark, NJ",Clark,NJ,Office,"$950,000","4,044"
2,40403919,200-208 Trumbull St,,"Elizabeth, NJ",Elizabeth,NJ,Retail,"$695,000",500
2,40402839,20 Leigh St,,"Clinton Township, NJ",Clinton Township,NJ,Multifamily,"$1,390,000",
3,40402651,45 Bridge St,,"Lambertville, NJ",Lambertville,NJ,Retail,"$1,400,000","3,600"
3,40402387,1015 Pennsylvania Ave,,"Linden, NJ",Linden,NJ,Industrial,"$2,480,000","6,000"
3,40393410,355 Buckelew Ave,Dance Stop,"Monroe Township, NJ",Monroe Township,NJ,Retail,"$999,999","2,148"
3,40393399,487-489 18th Ave,,"Newark, NJ",Newark,NJ,Multifamily,"$1,650,000",
3,40393366,467 1/2 Martin Luther King Jr Dr,,"Jersey City, NJ",Jersey City,NJ,Retail,"$900,000","5,250"
3,40393301,2001 NJ-35,Fred's Bait & Tackle,"South Amboy, NJ",South Amboy,NJ,Retail,"$1,250,000","2,996"
3,40392570,51 Cortlandt St,,"Belleville, NJ",Belleville,NJ,Flex,"$1,300,000","5,200"
3,40392536,30 Siegel Ave,,"Trenton, NJ",Trenton,NJ,Land,"$650,000",
3,40392431,137 Ellison St,SCHOOL,"Paterson, NJ",Paterson,NJ,Office,"$3,500,000","28,524"
3,40391867,1989-2001 Springfield Ave,,"Maplewood, NJ",Maplewood,NJ,Retail,"$1,700,000","3,188"
3,40390904,363 Broadway,,"Bayonne, NJ",Bayonne,NJ,Retail,"$750,000","2,845"
3,40389537,342 US Highway 22,Plaqueco,"Green Brook, NJ",Green Brook,NJ,Industrial,"$4,950,000","30,345"
3,40388755,61 Glenwood Rd,,"Englewood, NJ",Englewood,NJ,Office,"$2,675,000","4,804"
3,40388541,41 Kings Hwy N,,"Cherry Hill, NJ",Cherry Hill,NJ,Office,"$550,000","3,676"
3,40388437,1010 Rose Ave,Broadway Business Center,"Runnemede, NJ",Runnemede,NJ,Flex,"$1,698,000","12,220"
3,40376751,217 Stuyvesant Ave,,"Lyndhurst, NJ",Lyndhurst,NJ,Land,"$2,000,000",
3,40367885,92 Union Ave,,"Cresskill, NJ",Cresskill,NJ,Office,"$2,198,000","5,000"
3,40366878,169 Washington St,,"Morristown, NJ",Morristown,NJ,Retail,"$2,500,000","4,300"
3,40366871,378 George St,,"New Brunswick, NJ",New Brunswick,NJ,Retail,"$2,495,000","6,801"
3,40366503,90 N Kings Hwy,,"Cherry Hill, NJ",Cherry Hill,NJ,Office,"$850,000","2,800"
3,40366374,47 Main St,,"Clinton Township, NJ",Clinton Township,NJ,Retail,"$700,000","2,200"
3,40366113,3176 John F. Kennedy Blvd,,"Jersey City, NJ",Jersey City,NJ,Multifamily,"$2,500,000","6,750"
3,40364177,"2070-2078 State Route 35, South Amboy, NJ 08879",,"South Amboy, NJ",South Amboy,NJ,Retail,"$4,999,900","7,900"
3,40363040,1423 Corlies Ave,,"Neptune, NJ",Neptune,NJ,Retail,"$899,999","3,358"
3,40362330,812 Main St,,"Bradley Beach, NJ",Bradley Beach,NJ,Retail,"$1,450,000","3,500"
4,40353177,226 S Main St,,"Phillipsburg, NJ",Phillipsburg,NJ,Multifamily,"$350,000","2,038"
4,40353005,78 S Main St,MIXED USE BUILDING 4 APARTMENTS 1 COMMERCIAL,"Phillipsburg, NJ",Phillipsburg,NJ,Multifamily,"$649,000","7,851"
4,40352721,215-236 Bridge St,,"Metuchen, NJ",Metuchen,NJ,Office,"$550,000",
4,40351226,88-90 S Main St,100% LEASED MIXED USE BUILDING 7 UNITS,"Phillipsburg, NJ",Phillipsburg,NJ,Retail,"$999,999","8,000"
4,40350578,97 Sand Shore Rd,The Boat House,"Budd Lake, NJ",Budd Lake,NJ,Retail,"$1,190,000","3,000"
4,40347475,1820 Lanes Mill Rd,,"Brick, NJ",Brick,NJ,Retail,"$7,300,000","17,467"
4,40345122,87 Jefferson St,,"Hoboken, NJ",Hoboken,NJ,Retail,"$399,000",
4,40339693,14-28 Mitchell Pl,Port Newark Truck Repair,"Newark, NJ",Newark,NJ,Industrial,"$3,600,000","14,000"
4,40338324,3 Front St,CLASSIC VICTORIAN CONVERTED TO 3 UNITS,"Phillipsburg, NJ",Phillipsburg,NJ,Multifamily,"$600,000","3,156"
4,40336767,Rutgers St Portfolio,,"Belleville, NJ",Belleville,NJ,Industrial,"$2,499,999",
4,40336415,325 39th St,,"Union City, NJ",Union City,NJ,Multifamily,"$2,250,000",
4,40336018,Reed Rd & Denow Rd,,"Pennington, NJ",Pennington,NJ,Land,"$4,200,000",
4,40335785,35 Kensington Ave,,"Jersey City, NJ",Jersey City,NJ,Multifamily,"$5,770,000",
4,40335661,369 E Kinney St,,"Newark, NJ",Newark,NJ,Multifamily,"$1,425,000",
4,40335655,614-616 Broadway,,"Bayonne, NJ",Bayonne,NJ,Retail,"$2,300,000","6,197"
4,40335652,180 State Route 35,180 Route 35,"Keyport, NJ",Keyport,NJ,Industrial,"$9,960,000","33,508"
4,40335579,1045 Sally Ike Rd,,"Brick, NJ",Brick,NJ,Office,"$1,150,000","5,109"
4,40335506,204 Parkhurst St,,"Newark, NJ",Newark,NJ,Multifamily,"$1,195,000",
4,40335209,2117 Summit Ave,803 22nd Street,"Union City, NJ",Union City,NJ,Multifamily,"$1,718,000",
4,40334470,99 Pulaski St,,"Newark, NJ",Newark,NJ,Multifamily,"$2,285,000","6,207"
4,40334132,237 Astor St,,"Newark, NJ",Newark,NJ,Multifamily,"$1,495,000",
4,40330638,920 Savitt Pl,,"Union Township, NJ",Union Township,NJ,Industrial,"$2,409,575","9,835"
4,40325417,272 Pitman Downer Rd,,"Sewell, NJ",Sewell,NJ,Retail,"$999,999","4,000"
4,40322731,102 Delaware ave,,"Fortescue, NJ",Fortescue,NJ,Retail,"$1,250,000","4,000"
4,40322650,590 Bergen Ave,,"Jersey City, NJ",Jersey City,NJ,Multifamily,"$5,481,000",
5,40322564,600 Irick Rd,Take 5 Oil Change,"Westampton, NJ",Westampton,NJ,Retail,"$1,666,667","1,720"
5,40322105,144-153 Route 4,,"Paramus, NJ",Paramus,NJ,Land,"$5,500,000",
5,40321669,108 Fleming Ave,,"Newark, NJ",Newark,NJ,Multifamily,"$2,000,000","6,000"
5,40321614,Burlington Mt Holly Rd & Irick rd,QuickChek,"Westampton, NJ",Westampton,NJ,Retail,"$6,818,182","5,670"
5,40321398,103 Central Ave,,"Orange, NJ",Orange,NJ,Multifamily,"$1,100,000",
5,40320185,72-76 Market St,,"Clifton, NJ",Clifton,NJ,Retail,"$110,000",
5,40319902,271 US-202,Mixed Use Property,"Pluckemin, NJ",Pluckemin,NJ,Retail,"$1,650,000","3,100"
5,40319801,25 Ross St,,"Wharton, NJ",Wharton,NJ,Industrial,"$1,300,000","5,500"
5,40318544,478 River Styx Rd,,"Hopatcong, NJ",Hopatcong,NJ,Retail,"$1,100,000","2,400"
5,40317657,2300 Route 35,Twin Oaks Motel,"Manasquan, NJ",Manasquan,NJ,Hospitality,"$3,388,000","7,761"
5,40316536,932 South Ave W,,"Westfield, NJ",Westfield,NJ,Retail,"$2,999,999","9,000"
5,40308151,684 W Prospect Ave,,"Fairview, NJ",Fairview,NJ,Industrial,"$1,299,000","5,001"
5,40307522,Bordentown NNN Retail Center,,"Bordentown, NJ",Bordentown,NJ,Retail,"$10,000,000",
5,40306854,126 Mount Bethel Rd,,"Warren, NJ",Warren,NJ,Flex,"$1,950,000","8,462"
5,40306150,216-218 Orange Ave,Irvington 5-Unit Retail & Residential,"Irvington, NJ",Irvington,NJ,Retail,"$799,999","5,262"
5,40305978,315 Lowell Ave,,"Mercerville, NJ",Mercerville,NJ,Office,"$1,195,000","6,100"
5,40305941,1028 State Route -23,,"Wayne, NJ",Wayne,NJ,Land,"$925,000",
5,40305030,104 Readington rd,,"Branchburg, NJ",Branchburg,NJ,Industrial,"$3,900,000","9,875"
5,40302006,100 Route 70,,"Lakehurst, NJ",Lakehurst,NJ,Industrial,"$950,000","1,880"
5,40295330,Sheeppenhill Road,104 ACRES - BLUEBERRIES OR CANNABIS,"Pemberton, NJ",Pemberton,NJ,Land,"$525,000",
5,40284394,371 4th St,Prato,"Jersey City, NJ",Jersey City,NJ,Retail,"$1,495,000",
5,40284167,351 Broadway,,"Bayonne, NJ",Bayonne,NJ,Retail,"$699,000","1,990"
5,40284137,Glendale & Midwood Rd,Lincoln Park Hospitality Development Site,"Lincoln Park, NJ",Lincoln Park,NJ,Land,"$250,000",
5,40283984,451 Communipaw Ave,,"Jersey City, NJ",Jersey City,NJ,Industrial,"$4,500,000","30,000"
5,40280253,560 Bergen Blvd,,"Ridgefield, NJ",Ridgefield,NJ,Office,"$1,550,000","3,000"
6,40272286,782-798 Emerson St,,"Lindenwold, NJ",Lindenwold,NJ,Retail,"$3,300,000","13,000"
6,40269153,4 Walter Foran Blvd,,"Flemington, NJ",Flemington,NJ,Office,"$295,000",
6,40265177,905 Grand Ave,,"Asbury Park, NJ",Asbury Park,NJ,Multifamily,"$1,200,000","6,350"
6,40263356,108-114 N 7th St,,"Paterson, NJ",Paterson,NJ,Land,"$1,800,000",
6,40263311,39 Woodland Rd,,"Roseland, NJ",Roseland,NJ,Office,"$1,299,000","3,200"
6,40259786,571 E Bay Ave,,"Manahawkin, NJ",Manahawkin,NJ,Retail,"$1,500,000","5,079"
6,40252324,188 Eagle Rock Ave,,"Roseland, NJ",Roseland,NJ,Office,"$2,200,000","10,000"
6,40250964,176 State Route 173,,"Asbury, NJ",Asbury,NJ,Retail,"$2,200,000","14,000"
6,40249025,1017 King Georges Post Rd,Edison HQ,"Edison, NJ",Edison,NJ,Office,"$1,999,999","2,800"
6,40249006,27 Longview St,,"West Orange, NJ",West Orange,NJ,Multifamily,"$999,999","7,501"
6,40248916,522 Memorial Pky,,"Phillipsburg, NJ",Phillipsburg,NJ,Office,"$435,000","1,764"
6,40248622,1705 Burnt Mill Rd,,"Voorhees, NJ",Voorhees,NJ,Retail,"$299,999","1,625"
6,40248498,3088 State Route 27,,"Kendall Park, NJ",Kendall Park,NJ,Office,"$3,200,000","14,796"
6,40245363,1160 Stelton Rd,,"Piscataway, NJ",Piscataway,NJ,Office,"$1,200,000","1,888"
6,40244955,459 Fulton St,,"Elizabeth, NJ",Elizabeth,NJ,Multifamily,"$1,199,000","7,000"
6,40243914,2 Wilson Dr,,"Sparta, NJ",Sparta,NJ,Industrial,"$649,000",
6,40243765,2507 US Highway 22,,"Scotch Plains, NJ",Scotch Plains,NJ,Retail,"$3,400,000","7,200"
6,40238217,1000 Sylvan Ave,,"Englewood Cliffs, NJ",Englewood Cliffs,NJ,Office,"$23,000,000","66,068"
6,40232738,2273 Highway 33,,"Hamilton, NJ",Hamilton,NJ,Office,"$775,000",
6,40231351,2270 Harding Hwy,,"Newfield, NJ",Newfield,NJ,Specialty,"$310,000","1,721"
